symbol,ltp,change,change_p,open,high,low,prev_close,52w_high,52w_low,volume,longName,industry,sector,fullExchangeName,website,city,marketCap,regularMarketTime,currentPrice,dayHigh,dayLow,previousClose,regularMarketChange,regularMarketChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,totalCash,totalDebt,totalRevenue,returnOnEquity,profitMargins,bookValue,priceToBook,trailingPE,forwardPE,trailingEps,dividendYield,payoutRatio,lastSplitFactor,lastSplitDate,beta
LT,3974.5,-48.5,-1.2055681,4010.0,4014.0,3960.0,4023.0,4440.0,3288.1,1619624,Larsen & Toubro Limited,Engineering & Construction,Industrials,NSE,https://www.larsentoubro.com,Mumbai,5467593506816,1778234399,3974.5,4014.0,3960.0,4023.0,-48.5,-1.2055681,3288.1,4440.0,3837.59,3877.8635,3727326,1375668171,0.17186001,0.48790002,803725312000,1254965903360,2916350427136,0.1554,0.05515,794.242,5.0041423,34.013695,21.694258,116.85,0.96,0.2909,3:2,1499904000,0.493
M&M,3330.4,-40.30005,-1.1955988,3357.8,3363.0,3317.6,3370.7,3839.9,2896.0,2071093,Mahindra & Mahindra Limited,Auto Manufacturers,Consumer Cyclical,NSE,https://www.mahindra.com,Mumbai,3999018516480,1778234400,3330.4,3363.0,3317.6,3370.7,-40.30005,-1.1955988,2896.0,3839.9,3146.224,3447.369,3300526,1200762264,0.2524,0.49196,527834513408,1369359122432,2020843454464,0.18754,0.08461001,741.994,4.4884458,21.881735,20.648165,152.2,0.99,0.1663,2:1,1513814400,0.383
HINDUNILVR,2287.7,15.5,0.68215823,2272.2,2297.3,2256.0,2272.2,2750.0,2022.5,1104423,Hindustan Unilever Limited,Household & Personal Products,Consumer Defensive,NSE,https://www.hul.co.in,Mumbai,5375159959552,1778234396,2287.7,2297.3,2256.0,2272.2,15.5,0.68215823,2022.5,2750.0,2192.324,2389.3865,2090328,2349591262,0.62264997,0.19608,74950000640,14780000256,644679991296,0.21603,0.23329,207.383,11.0312805,50.501102,42.69707,45.3,1.92,0.9503,10:1,963187200,0.402
TCS,2394.4,-7.0,-0.29149663,2398.0,2407.0,2375.1,2401.4,3630.5,2346.2,3791556,Tata Consultancy Services Limited,Information Technology Services,Technology,NSE,https://www.tcs.com,Mumbai,8663148265472,1778234399,2394.4,2407.0,2375.1,2401.4,-7.0,-0.29149663,2346.2,3630.5,2472.98,2922.027,4264455,3618087518,0.71789,0.17026,466779996160,112829997056,2670210056192,0.48395002,0.18429,313.727,7.632113,17.60588,14.4540415,136.0,5.18,0.4632,2:1,1527724800,0.289
KOTAKBANK,380.8,1.3999939,0.36900207,379.0,381.5,374.0,379.4,453.2,345.5,16182435,Kotak Mahindra Bank Limited,Banks - Regional,Financial Services,NSE,https://www.kotak.bank.in,Mumbai,3787613798400,1778234400,380.8,381.5,374.0,379.4,1.3999939,0.36900207,345.5,453.2,376.136,407.4606,19824957,9946464950,0.28763,0.46518,1020911091712,953935331328,740433330176,0.11389,0.26049,182.123,2.0908945,19.649122,11.937304,19.38,0.13,0.025799999,5:1,1768348800,0.308
INDIGO,4522.7,15.800293,0.35058007,4488.0,4545.8,4465.7,4506.9,6232.5,3895.2,827308,InterGlobe Aviation Limited,Airlines,Industrials,NSE,https://www.goindigo.in,Gurugram,1748688437248,1778234402,4522.7,4545.8,4465.7,4506.9,15.800293,0.35058007,3895.2,6232.5,4373.898,5167.7075,1623410,386646998,0.41576,0.44324002,496290988032,748138004480,846754021376,,0.03793,242.434,18.655388,54.346313,24.42999,83.22,0.24,0.1205,,,0.606
SUNPHARMA,1847.9,13.5,0.73593545,1822.0,1857.5,1819.2,1834.4,1857.8,1548.0,2837701,Sun Pharmaceutical Industries Limited,Drug Manufacturers - Specialty & Generic,Healthcare,NSE,https://sunpharma.com,Mumbai,4433731125248,1778234401,1847.9,1857.5,1819.2,1834.4,13.5,0.73593545,1548.0,1857.8,1750.836,1703.329,3770056,2399334970,0.55615,0.2864,278804299776,52151001088,568090886144,,0.19214001,324.462,5.695274,40.648922,32.658535,45.46,0.89,0.3516,2:1,1375056000,0.097
ADANIENT,2505.9,-7.800049,-0.3103015,2519.0,2546.1,2500.0,2513.7,2695.0,1753.0,1499209,Adani Enterprises Limited,Thermal Coal,Energy,NSE,https://www.adanienterprises.com,Ahmedabad,3435449024512,1778234399,2505.9,2546.1,2500.0,2513.7,-7.800049,-0.3103015,1753.0,2695.0,2101.134,2259.7366,2170975,1301693464,0.77321,0.14413999,143160705024,1066217897984,1004686082048,0.13664,0.09295999,626.992,3.9967015,34.0152,44.20746,73.67,0.05,0.0171,2:1,1260403200,0.765
ULTRACEMCO,11950.0,-196.0,-1.6137,12090.0,12110.0,11877.0,12146.0,13110.0,10325.0,258687,UltraTech Cement Limited,Building Materials,Basic Materials,NSE,https://www.ultratechcement.com,Mumbai,3515327184896,1778234402,11950.0,12110.0,11877.0,12146.0,-196.0,-1.6137,10325.0,13110.0,11498.96,12043.625,340607,294169635,0.60593,0.21664,51199700992,237550895104,885115322368,0.10593,0.092259996,2448.889,4.879764,43.10345,27.29738,277.24,0.65,0.2793,,,0.489
COALINDIA,456.4,-10.25,-2.196507,461.2,463.35,454.9,466.65,491.25,368.65,15766045,Coal India Limited,Thermal Coal,Energy,NSE,https://www.coalindia.in,Kolkata,2812669329408,1778234400,456.4,463.35,454.9,466.65,-10.25,-2.196507,368.65,491.25,452.055,410.95526,12485249,6162728327,0.63137,0.25219,567618371584,140721799168,1684002963456,0.28124002,0.18465,193.28,2.361341,9.041204,7.9463353,50.48,4.82,0.5232,,,0.003
